,title,author,num_rating,num_reviews,avg_rating,num_pages,original_publish_year,series,genres,award,place,url
0,Airborn,Kenneth Oppel,23697,1991,4.17,501,2005,True,"['Science Fiction Steampunk', 'Fantasy', 'Young Adult', 'Science Fiction', 'Adventure', 'Fiction', 'Young Adult Teen', 'Adventure Pirates', 'Audiobook', 'Childrens Middle Grade']",11,,https://www.goodreads.com//book/show/428042.Airborn
1,My Life Next Door,Huntley Fitzpatrick,139278,9673,3.99,394,2012,False,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Womens Fiction Chick Lit', 'Realistic Fiction', 'Young Adult Young Adult Contemporary', 'Romance Contemporary Romance', 'Young Adult Young Adult Romance', 'Young Adult High School']",2,United States,https://www.goodreads.com//book/show/12294652-my-life-next-door
2,Double Identity,Margaret Peterson Haddix,15407,1404,4.02,218,2007,False,"['Young Adult', 'Science Fiction', 'Fiction', 'Mystery', 'Fantasy', 'Childrens Middle Grade', 'Childrens', 'Young Adult Teen', 'Adventure', 'Realistic Fiction']",0,,https://www.goodreads.com//book/show/155370.Double_Identity
3,Uncommon Criminals,Ally Carter,41225,2368,4.13,298,2011,True,"['Young Adult', 'Mystery', 'Contemporary', 'Romance', 'Fiction', 'Adventure', 'Young Adult Teen', 'Mystery Crime', 'Womens Fiction Chick Lit', 'Realistic Fiction']",1,United States,https://www.goodreads.com//book/show/10327303-uncommon-criminals
4,House Rules,Jodi Picoult,152691,11481,4.02,532,2010,False,"['Fiction', 'Mystery', 'Contemporary', 'Adult Fiction', 'Adult', 'Womens Fiction Chick Lit', 'Drama', 'Family', 'Realistic Fiction', 'Health Aspergers']",1,United States,https://www.goodreads.com//book/show/6614960-house-rules
5,Code Name Verity,Elizabeth Wein,102876,14674,4.02,452,2012,True,"['Historical Historical Fiction', 'Young Adult', 'Fiction', 'Historical', 'War', 'War World War II', 'Audiobook', 'Young Adult Teen', 'Mystery', 'Adventure']",15,,https://www.goodreads.com//book/show/11925514-code-name-verity
6,Lips of a Mastodon,Ted Bernal Guevara,3825,27,3.5,226,2015,False,"['Drama', 'Mystery', 'Fiction', 'Mystery Crime', 'Thriller', 'Suspense', 'Thriller Psychological Thriller', 'Adult Fiction', 'Novels', 'Adventure']",0,,https://www.goodreads.com//book/show/26004546-lips-of-a-mastodon
7,Juliet,Anne Fortier,25919,3835,3.91,447,2010,False,"['Historical Historical Fiction', 'Romance', 'Fiction', 'Mystery', 'Historical', 'Cultural Italy', 'Contemporary', 'Adult', 'Womens Fiction Chick Lit', 'Adult Fiction']",1,Italy,https://www.goodreads.com//book/show/6718608-juliet
8,The Young Elites,Marie Lu,118100,13349,3.88,355,2014,True,"['Fantasy', 'Young Adult', 'Science Fiction Dystopia', 'Romance', 'Fantasy Magic', 'Fiction', 'Young Adult Young Adult Fantasy', 'Science Fiction', 'Fantasy High Fantasy', 'Fantasy Paranormal']",2,,https://www.goodreads.com//book/show/20821111-the-young-elites
9,Reckless,S.C. Stephens,76241,5390,4.41,546,2013,True,"['Romance', 'New Adult', 'Contemporary', 'Romance Contemporary Romance', 'Music', 'Adult', 'Adult Fiction Erotica', 'Womens Fiction Chick Lit', 'Young Adult', 'Love']",1,,https://www.goodreads.com//book/show/13600318-reckless
